date,close,volume,open,high,low,,,Day
11/10/2017,174.67,25129510,175.11,175.38,174.27,,,312
11/9/2017,175.88,29422610,175.11,176.095,173.14,,,311
11/8/2017,176.24,24358920,174.66,176.24,174.33,,,310
11/7/2017,174.81,24332120,173.91,175.25,173.6,,,309
11/6/2017,174.25,34770480,172.365,174.99,171.72,,,308
11/3/2017,172.5,59332210,174,174.26,171.12,,,305
11/2/2017,168.11,39668100,167.64,168.5,165.28,,,304
11/1/2017,166.89,33482970,169.87,169.94,165.61,,,303
10/31/2017,169.04,35779520,167.9,169.6499,166.94,,,302
10/30/2017,166.72,44651420,163.89,168.07,163.72,,,301
10/27/2017,163.05,44387770,159.29,163.6,158.7,,,298
10/26/2017,157.41,16916650,157.23,157.8295,156.78,,,297
10/25/2017,156.41,21175670,156.91,157.55,155.27,,,296
10/24/2017,157.1,17633730,156.29,157.42,156.2,,,295
10/23/2017,156.17,21888930,156.89,157.69,155.5,,,294
10/20/2017,156.25,23907540,156.61,157.75,155.96,,,291
10/19/2017,155.98,42357420,156.75,157.08,155.02,,,290
10/18/2017,159.76,16252850,160.42,160.71,159.6,,,289
10/17/2017,160.47,18969700,159.78,160.87,159.23,,,288
10/16/2017,159.88,24093300,157.9,160,157.65,,,287
10/13/2017,156.99,16367780,156.73,157.28,156.41,,,284
10/12/2017,156,16380570,156.35,157.37,155.7299,,,283
10/11/2017,156.55,16861450,155.97,156.98,155.75,,,282
10/10/2017,155.9,15603520,156.055,158,155.1,,,281
10/9/2017,155.84,16243080,155.81,156.73,155.485,,,280
10/6/2017,155.3,17223790,154.97,155.49,154.56,,,277
10/5/2017,155.39,21215870,154.18,155.44,154.05,,,276
10/4/2017,153.48,20088940,153.63,153.86,152.46,,,275
10/3/2017,154.48,16216800,154.01,155.09,153.91,,,274
10/2/2017,153.81,18631540,154.26,154.45,152.72,,,273
9/29/2017,154.12,26204670,153.21,154.13,152,,,270
9/28/2017,153.28,21983410,153.89,154.28,152.7,,,269
9/27/2017,154.23,25402270,153.8,154.7189,153.54,,,268
9/26/2017,153.14,35907770,151.78,153.92,151.69,,,267
9/25/2017,150.55,44366140,149.99,151.83,149.16,,,266
9/22/2017,151.89,46575410,152.02,152.27,150.56,,,263
9/21/2017,153.39,37350060,155.8,155.8,152.75,,,262
9/20/2017,156.07,52126240,157.9,158.26,153.83,,,261
9/19/2017,158.73,20565620,159.51,159.77,158.44,,,260
9/18/2017,158.67,28157630,160.11,160.5,157.995,,,259
9/15/2017,159.88,48846060,158.47,160.97,158,,,256
9/14/2017,158.28,23637310,158.99,159.4,158.09,,,255
9/13/2017,159.65,44866280,159.87,159.96,157.91,,,254
9/12/2017,160.86,71574560,162.61,163.96,158.77,,,253
9/11/2017,161.5,31506890,160.5,162.05,159.89,,,252
9/8/2017,158.63,28411740,160.86,161.15,158.53,,,249
9/7/2017,161.26,21905160,162.09,162.24,160.36,,,248
9/6/2017,161.91,21610300,162.71,162.99,160.52,,,247
9/5/2017,162.08,29491910,163.75,164.25,160.56,,,246
9/1/2017,164.05,16564340,164.8,164.94,163.63,,,242
8/31/2017,164,26729940,163.64,164.52,163.48,,,241
8/30/2017,163.35,27215770,163.8,163.89,162.61,,,240
8/29/2017,162.91,29451050,160.1,163.12,160,,,239
8/28/2017,161.47,25649890,160.14,162,159.93,,,238
8/25/2017,159.86,25184600,159.65,160.56,159.27,,,235
8/24/2017,159.27,19782170,160.43,160.74,158.55,,,234
8/23/2017,159.98,19376940,159.07,160.47,158.88,,,233
8/22/2017,159.78,21564890,158.23,160,158.02,,,232
8/21/2017,157.21,26330070,157.5,157.89,155.1101,,,231
8/18/2017,157.5,27391950,157.86,159.5,156.72,,,228
8/17/2017,157.86,27377960,160.52,160.71,157.84,,,227
8/16/2017,160.95,27607370,161.94,162.51,160.15,,,226
8/15/2017,161.6,29377630,160.66,162.195,160.14,,,225
8/14/2017,159.85,22074760,159.32,160.21,158.75,,,224
8/11/2017,157.48,26208970,156.6,158.5728,156.07,,,221
8/10/2017,155.32,39636190,159.9,160,154.63,,,220
8/9/2017,161.06,26060430,159.26,161.27,159.11,,,219
8/8/2017,160.08,36127490,158.6,161.83,158.27,,,218
8/7/2017,158.81,21827400,157.06,158.92,156.6701,,,217
8/4/2017,156.39,20514810,156.07,157.4,155.69,,,214
8/3/2017,155.57,26604140,157.05,157.21,155.02,,,213
8/2/2017,157.14,69726440,159.28,159.75,156.16,,,212
8/1/2017,150.05,33669020,149.1,150.22,148.41,,,211
7/31/2017,148.73,19690420,149.9,150.33,148.13,,,210
7/28/2017,149.5,17192770,149.89,150.23,149.19,,,207
7/27/2017,150.56,32429770,153.75,153.99,147.3,,,206
7/26/2017,153.46,15649120,153.35,153.93,153.06,,,205
7/25/2017,152.74,18798250,151.8,153.84,151.8,,,204
7/24/2017,152.09,21466370,150.58,152.44,149.9,,,203
7/21/2017,150.27,25111310,149.99,150.44,148.88,,,200
7/20/2017,150.34,17170490,151.5,151.74,150.19,,,199
7/19/2017,151.02,20859830,150.48,151.42,149.95,,,198
7/18/2017,150.08,17837130,149.2,150.13,148.67,,,197
7/17/2017,149.56,23765710,148.82,150.9,148.57,,,196
7/14/2017,149.04,20117070,147.97,149.33,147.33,,,193
7/13/2017,147.77,25080500,145.5,148.49,145.44,,,192
7/12/2017,145.74,24833800,145.87,146.18,144.82,,,191
7/11/2017,145.53,18647220,144.73,145.85,144.38,,,190
7/10/2017,145.06,21080580,144.11,145.95,143.37,,,189
7/7/2017,144.18,18527000,142.9,144.75,142.9,,,186
7/6/2017,142.73,24110330,143.02,143.5,142.41,,,185
7/5/2017,144.09,21550270,143.69,144.79,142.7237,,,184
7/3/2017,143.5,14277850,144.88,145.3001,143.1,,,182
6/30/2017,144.02,22986960,144.45,144.96,143.78,,,179
6/29/2017,143.68,31450520,144.71,145.13,142.28,,,178
6/28/2017,145.83,22052920,144.49,146.11,143.1601,,,177
6/27/2017,143.73,24725210,145.01,146.16,143.62,,,176
6/26/2017,145.82,25674500,147.17,148.28,145.38,,,175
6/23/2017,146.28,35421310,145.13,147.16,145.11,,,172
6/22/2017,145.63,19082170,145.77,146.7,145.1199,,,171
6/21/2017,145.87,21247590,145.52,146.0693,144.61,,,170
6/20/2017,145.01,24877950,146.87,146.87,144.94,,,169
6/19/2017,146.34,32203640,143.66,146.74,143.66,,,168
6/16/2017,142.27,50264540,143.78,144.5,142.2,,,165
6/15/2017,144.29,31642900,143.32,144.4798,142.21,,,164
6/14/2017,145.16,31454590,147.5,147.5,143.84,,,163
6/13/2017,146.59,34089190,147.16,147.45,145.15,,,162
6/12/2017,145.42,72187710,145.74,146.09,142.51,,,161
6/9/2017,148.98,64782910,155.19,155.19,146.02,,,158
6/8/2017,154.99,21144040,155.25,155.54,154.4,,,157
6/7/2017,155.37,21017560,155.02,155.98,154.48,,,156
6/6/2017,154.45,26591850,153.9,155.81,153.78,,,155
6/5/2017,153.93,25277680,154.34,154.45,153.46,,,154
6/2/2017,155.45,27715140,153.58,155.45,152.89,,,151
6/1/2017,153.18,16383610,153.17,153.33,152.22,,,150
5/31/2017,152.76,24452750,153.97,154.17,152.38,,,149
5/30/2017,153.67,20118620,153.42,154.43,153.33,,,148
5/26/2017,153.61,21895020,154,154.24,153.31,,,144
5/25/2017,153.87,19217810,153.73,154.35,153.03,,,143
5/24/2017,153.34,19201820,153.84,154.17,152.67,,,142
5/23/2017,153.8,19906170,154.9,154.9,153.31,,,141
5/22/2017,153.99,22930630,154,154.58,152.91,,,140
5/19/2017,153.06,26892850,153.38,153.98,152.63,,,137
5/18/2017,152.54,33520150,151.27,153.34,151.13,,,136
5/17/2017,150.25,50674280,153.6,154.57,149.71,,,135
5/16/2017,155.47,19994270,155.94,156.06,154.72,,,134
5/15/2017,155.7,25912270,156.01,156.65,155.05,,,133
5/12/2017,156.1,32493770,154.7,156.42,154.67,,,130
5/11/2017,153.95,27236290,152.45,154.07,152.31,,,129
5/10/2017,153.26,25779060,153.63,153.94,152.11,,,128
5/9/2017,153.99,38907940,153.87,154.88,153.45,,,127
5/8/2017,153.01,48670440,149.03,153.7,149.03,,,126
5/5/2017,148.96,27254850,146.76,148.98,146.76,,,123
5/4/2017,146.53,23345970,146.52,147.14,145.81,,,122
5/3/2017,147.06,45579740,145.59,147.49,144.27,,,121
5/2/2017,147.51,44182930,147.54,148.09,146.84,,,120
5/1/2017,146.58,33498270,145.1,147.2,144.96,,,119
4/28/2017,143.65,20783460,144.09,144.3,143.27,,,116
4/27/2017,143.79,14198660,143.923,144.16,143.31,,,115
4/26/2017,143.68,19998050,144.47,144.6,143.3762,,,114
4/25/2017,144.53,18325720,143.91,144.9,143.87,,,113
4/24/2017,143.64,17117710,143.5,143.95,143.18,,,112
4/21/2017,142.27,17290900,142.44,142.68,141.85,,,109
4/20/2017,142.44,23294040,141.22,142.92,141.16,,,108
4/19/2017,140.68,17302160,141.88,142,140.45,,,107
4/18/2017,141.2,14676420,141.41,142.04,141.11,,,106
4/17/2017,141.83,16529130,141.48,141.88,140.87,,,105
4/13/2017,141.05,17775510,141.91,142.38,141.05,,,101
4/12/2017,141.8,20320420,141.6,142.15,141.01,,,100
4/11/2017,141.63,30341520,142.94,143.35,140.06,,,99
4/10/2017,143.17,18904680,143.6,143.8792,142.9,,,98
4/7/2017,143.34,16658660,143.73,144.18,143.27,,,95
4/6/2017,143.66,21131040,144.29,144.52,143.45,,,94
4/5/2017,144.02,27649500,144.22,145.46,143.81,,,93
4/4/2017,144.77,19865300,143.25,144.89,143.17,,,92
4/3/2017,143.7,19970040,143.71,144.12,143.05,,,91
3/31/2017,143.66,19576480,143.72,144.27,143.01,,,88
3/30/2017,143.93,21189000,144.19,144.5,143.5,,,87
3/29/2017,144.12,29174040,143.68,144.49,143.19,,,86
3/28/2017,143.8,33348400,140.91,144.04,140.62,,,85
3/27/2017,140.88,23531670,139.39,141.22,138.62,,,84
3/24/2017,140.64,22355140,141.5,141.74,140.35,,,81
3/23/2017,140.92,20299310,141.26,141.5844,140.61,,,80
3/22/2017,141.42,25804820,139.845,141.6,139.76,,,79
3/21/2017,139.84,39461130,142.11,142.8,139.73,,,78
3/20/2017,141.46,21258100,140.4,141.5,140.23,,,77
3/17/2017,139.99,43700570,141,141,139.89,,,74
3/16/2017,140.69,19173780,140.72,141.02,140.26,,,73
3/15/2017,140.46,25676720,139.41,140.7501,139.025,,,72
3/14/2017,138.99,15281850,139.3,139.65,138.84,,,71
3/13/2017,139.2,17048800,138.85,139.43,138.82,,,70
3/10/2017,139.14,19578920,139.25,139.3571,138.64,,,67
3/9/2017,138.68,22117750,138.74,138.79,137.05,,,66
3/8/2017,139,18695500,138.95,139.8,138.82,,,65
3/7/2017,139.52,17439210,139.06,139.98,138.79,,,64
3/6/2017,139.34,21229890,139.365,139.77,138.5959,,,63
3/3/2017,139.78,21555370,138.78,139.83,138.59,,,60
3/2/2017,138.96,26170690,140,140.2786,138.76,,,59
3/1/2017,139.79,36362440,137.89,140.15,137.595,,,58
2/28/2017,136.99,23446340,137.08,137.435,136.7,,,57
2/27/2017,136.93,20222210,137.14,137.435,136.28,,,56
2/24/2017,136.66,21754600,135.91,136.66,135.28,,,53
2/23/2017,136.53,20762360,137.38,137.48,136.3,,,52
2/22/2017,137.11,20769030,136.43,137.12,136.11,,,51
2/21/2017,136.7,24487200,136.23,136.75,135.98,,,50
2/17/2017,135.72,22163280,135.1,135.83,135.1,,,46
2/16/2017,135.345,22539860,135.67,135.9,134.8398,,,45
2/15/2017,135.51,35578640,135.52,136.27,134.62,,,44
2/14/2017,135.02,33054500,133.47,135.09,133.25,,,43
2/13/2017,133.29,22989980,133.08,133.82,132.75,,,42
2/10/2017,132.12,20046250,132.46,132.94,132.05,,,39
2/9/2017,132.42,28321440,131.65,132.445,131.12,,,38
2/8/2017,132.04,22941650,131.35,132.22,131.22,,,37
2/7/2017,131.53,38158410,130.54,132.09,130.45,,,36
2/6/2017,130.29,26784530,129.13,130.5,128.9,,,35
2/3/2017,129.08,24460160,128.31,129.19,128.16,,,32
2/2/2017,128.53,33671250,127.975,129.39,127.78,,,31
2/1/2017,128.75,111837300,127.03,130.49,127.01,,,30
1/31/2017,121.35,47767760,121.15,121.39,120.62,,,29
1/30/2017,121.63,30327110,120.93,121.63,120.66,,,28
1/27/2017,121.95,20495340,122.14,122.35,121.6,,,25
1/26/2017,121.94,26320740,121.67,122.44,121.6,,,24
1/25/2017,121.88,32417410,120.42,122.1,120.28,,,23
1/24/2017,119.97,23191150,119.55,120.1,119.5,,,22
1/23/2017,120.08,21982000,120,120.81,119.77,,,21
1/20/2017,120,29922650,120.45,120.45,119.7346,,,18
1/19/2017,119.78,25554290,119.4,120.09,119.37,,,17
1/18/2017,119.99,23687350,120,120.5,119.71,,,16
1/17/2017,120,34412090,118.34,120.24,118.22,,,15
1/13/2017,119.04,26083030,119.11,119.62,118.81,,,11
1/12/2017,119.25,27057550,118.895,119.3,118.21,,,10
1/11/2017,119.75,27453130,118.74,119.93,118.6,,,9
1/10/2017,119.11,24432660,118.77,119.38,118.3,,,8
1/9/2017,118.99,33420290,117.95,119.43,117.94,,,7
1/6/2017,117.91,31714820,116.78,118.16,116.47,,,4
1/5/2017,116.61,22115100,115.92,116.8642,115.81,,,3
1/4/2017,116.02,21081620,115.85,116.51,115.75,,,2
1/3/2017,116.15,28769220,115.8,116.33,114.76,,,1
